id,entity,amount,status,fees,tax,utr,created_at,settlement_date,transaction_count,refund_adjustment,anomaly_type
set_2025_H2_00050,settlement,141074910,processed,2617820,0,UTR2025H200050,1755680400,2025-08-20,70,17415.00,
set_2025_H2_00051,settlement,166825269,processed,3082424,0,UTR2025H200051,1755766800,2025-08-21,87,13380.00,
set_2025_H2_00052,settlement,227368453,processed,4167651,0,UTR2025H200052,1755853200,2025-08-22,79,0.00,
set_2025_H2_00053,settlement,239274487,processed,4390738,0,UTR2025H200053,1755939600,2025-08-23,86,2644.00,
set_2025_H2_00054,settlement,239740812,processed,4394435,0,UTR2025H200054,1756026000,2025-08-24,90,0.00,
set_2025_H2_00055,settlement,129130654,processed,2393246,0,UTR2025H200055,1756112400,2025-08-25,62,14341.00,
set_2025_H2_00056,settlement,184312476,processed,3618186,0,UTR2025H200056,1756198800,2025-08-26,79,130797.00,
set_2025_H2_00057,settlement,188701693,processed,3513388,0,UTR2025H200057,1756285200,2025-08-27,85,29732.00,
set_2025_H2_00058,settlement,191823694,processed,3516118,0,UTR2025H200058,1756371600,2025-08-28,90,0.00,
set_2025_H2_00059,settlement,184261369,processed,3377496,0,UTR2025H200059,1756458000,2025-08-29,84,0.00,
set_2025_H2_00060,settlement,141736251,processed,2600272,0,UTR2025H200060,1756544400,2025-08-30,87,1228.00,
set_2025_H2_00061,settlement,194556849,processed,3599402,0,UTR2025H200061,1756630800,2025-08-31,68,18106.00,
set_2025_H2_00062,settlement,172543305,processed,3229794,0,UTR2025H200062,1756717200,2025-09-01,57,36600.00,
set_2025_H2_00063,settlement,306620867,processed,5621735,0,UTR2025H200063,1756803600,2025-09-02,112,758.00,
set_2025_H2_00064,settlement,167463853,processed,3136621,0,UTR2025H200064,1756890000,2025-09-03,82,36564.00,
set_2025_H2_00065,settlement,251954831,processed,4618316,0,UTR2025H200065,1756976400,2025-09-04,111,0.00,
set_2025_H2_00066,settlement,256540996,processed,4836748,0,UTR2025H200066,1757062800,2025-09-05,105,73308.00,
set_2025_H2_00067,settlement,212431052,processed,3900617,0,UTR2025H200067,1757149200,2025-09-06,100,3692.00,
set_2025_H2_00068,settlement,285798681,processed,5248061,0,UTR2025H200068,1757235600,2025-09-07,112,5119.00,
set_2025_H2_00069,settlement,228113288,processed,4181296,0,UTR2025H200069,1757322000,2025-09-08,81,0.00,
set_2025_H2_00070,settlement,271797874,processed,4990491,0,UTR2025H200070,1757408400,2025-09-09,108,4613.00,
set_2025_H2_00071,settlement,250385724,processed,4615260,0,UTR2025H200071,1757494800,2025-09-10,106,14021.00,
set_2025_H2_00072,settlement,211601879,processed,3889537,0,UTR2025H200072,1757581200,2025-09-11,97,5937.00,
set_2025_H2_00073,settlement,358565776,processed,6575523,0,UTR2025H200073,1757667600,2025-09-12,118,1657.00,
set_2025_H2_00074,settlement,290271048,processed,5346890,0,UTR2025H200074,1757754000,2025-09-13,98,14317.00,
set_2025_H2_00075,settlement,265364922,processed,4870456,0,UTR2025H200075,1757840400,2025-09-14,103,3455.00,
set_2025_H2_00076,settlement,349659135,processed,6597896,0,UTR2025H200076,1757926800,2025-09-15,113,102926.00,
set_2025_H2_00077,settlement,266932747,processed,4914010,0,UTR2025H200077,1758013200,2025-09-16,100,11539.00,
set_2025_H2_00078,settlement,236357198,processed,4402496,0,UTR2025H200078,1758099600,2025-09-17,88,38235.00,
set_2025_H2_00079,settlement,239662250,processed,4399238,0,UTR2025H200079,1758186000,2025-09-18,111,3404.00,
set_2025_H2_00080,settlement,280991276,processed,5183961,0,UTR2025H200080,1758272400,2025-09-19,105,18230.00,
set_2025_H2_00081,settlement,233381470,processed,4378099,0,UTR2025H200081,1758358800,2025-09-20,101,54682.00,
set_2025_H2_00082,settlement,279311663,processed,5124568,0,UTR2025H200082,1758445200,2025-09-21,113,2619.00,
set_2025_H2_00083,settlement,294593439,processed,5408257,0,UTR2025H200083,1758531600,2025-09-22,105,4570.00,
set_2025_H2_00084,settlement,238290865,processed,4375362,0,UTR2025H200084,1758618000,2025-09-23,103,4091.00,
set_2025_H2_00085,settlement,214098962,processed,4088032,0,UTR2025H200085,1758704400,2025-09-24,107,89262.00,
set_2025_H2_00086,settlement,214199065,processed,3981265,0,UTR2025H200086,1758790800,2025-09-25,85,30007.00,
set_2025_H2_00087,settlement,252157872,processed,4658539,0,UTR2025H200087,1758877200,2025-09-26,108,19915.00,
set_2025_H2_00088,settlement,241570606,processed,4557629,0,UTR2025H200088,1758963600,2025-09-27,109,70733.00,
set_2025_H2_00089,settlement,314696986,processed,5887458,0,UTR2025H200089,1759050000,2025-09-28,112,64966.00,
set_2025_H2_00090,settlement,213153109,processed,3907085,0,UTR2025H200090,1759136400,2025-09-29,96,0.00,
set_2025_H2_00091,settlement,262390477,processed,4837369,0,UTR2025H200091,1759222800,2025-09-30,97,15148.00,
set_2025_H2_00092,settlement,197007094,processed,3666562,0,UTR2025H200092,1759309200,2025-10-01,86,30243.00,
set_2025_H2_00093,settlement,316516360,processed,5905864,0,UTR2025H200093,1759395600,2025-10-02,146,56816.00,
set_2025_H2_00094,settlement,409345508,processed,7581551,0,UTR2025H200094,1759482000,2025-10-03,156,9400.00,settlement_amount_discrepancy
set_2025_H2_00095,settlement,339914892,processed,6279443,0,UTR2025H200095,1759568400,2025-10-04,152,26634.00,
set_2025_H2_00096,settlement,266415001,processed,4884424,0,UTR2025H200096,1759654800,2025-10-05,121,577.00,
set_2025_H2_00097,settlement,324909458,processed,5982090,0,UTR2025H200097,1759741200,2025-10-06,145,14469.00,
set_2025_H2_00098,settlement,349493580,processed,6495530,0,UTR2025H200098,1759827600,2025-10-07,168,48735.00,
set_2025_H2_00099,settlement,422036570,processed,7760895,0,UTR2025H200099,1759914000,2025-10-08,151,13636.00,
set_2025_H2_00100,settlement,333102832,processed,6198060,0,UTR2025H200100,1760000400,2025-10-09,135,50358.00,
set_2025_H2_00101,settlement,322813066,processed,5998565,0,UTR2025H200101,1760086800,2025-10-10,139,44418.00,
set_2025_H2_00102,settlement,404142983,processed,7492901,0,UTR2025H200102,1760173200,2025-10-11,151,46366.00,
set_2025_H2_00103,settlement,367429901,processed,6887266,0,UTR2025H200103,1760259600,2025-10-12,140,83084.00,
set_2025_H2_00104,settlement,333011103,processed,6290444,0,UTR2025H200104,1760346000,2025-10-13,146,101673.00,
set_2025_H2_00105,settlement,377929944,processed,6927433,0,UTR2025H200105,1760432400,2025-10-14,134,0.00,
set_2025_H2_00106,settlement,413040871,processed,7572908,0,UTR2025H200106,1760518800,2025-10-15,167,1035.00,
set_2025_H2_00107,settlement,425120166,processed,7792430,0,UTR2025H200107,1760605200,2025-10-16,152,0.00,
set_2025_H2_00108,settlement,339453935,processed,6308940,0,UTR2025H200108,1760691600,2025-10-17,121,47335.00,
set_2025_H2_00109,settlement,376997527,processed,6947087,0,UTR2025H200109,1760778000,2025-10-18,136,20045.00,
set_2025_H2_00110,settlement,369540177,processed,6899467,0,UTR2025H200110,1760864400,2025-10-19,143,68639.00,
set_2025_H2_00111,settlement,355146169,processed,6623499,0,UTR2025H200111,1760950800,2025-10-20,136,62029.00,
set_2025_H2_00112,settlement,351504116,processed,6526251,0,UTR2025H200112,1761037200,2025-10-21,137,45391.00,
set_2025_H2_00113,settlement,361147403,processed,6835124,0,UTR2025H200113,1761123600,2025-10-22,141,117464.00,
set_2025_H2_00114,settlement,314949786,processed,5822864,0,UTR2025H200114,1761210000,2025-10-23,149,27200.00,
set_2025_H2_00115,settlement,244048220,processed,4884442,0,UTR2025H200115,1761296400,2025-10-24,128,224252.00,
set_2025_H2_00116,settlement,431882786,processed,7977014,0,UTR2025H200116,1761382800,2025-10-25,145,33080.00,
set_2025_H2_00117,settlement,337959518,processed,6288313,0,UTR2025H200117,1761469200,2025-10-26,147,51034.00,
set_2025_H2_00118,settlement,273111931,processed,5019330,0,UTR2025H200118,1761555600,2025-10-27,136,7204.00,
set_2025_H2_00119,settlement,498960772,processed,9213781,0,UTR2025H200119,1761642000,2025-10-28,152,37022.00,
set_2025_H2_00120,settlement,414225659,processed,7727182,0,UTR2025H200120,1761728400,2025-10-29,127,73352.00,
set_2025_H2_00121,settlement,356424191,processed,6727258,0,UTR2025H200121,1761814800,2025-10-30,136,105850.00,
set_2025_H2_00122,settlement,338356729,processed,6226358,0,UTR2025H200122,1761901200,2025-10-31,143,13255.00,
set_2025_H2_00123,settlement,345888371,processed,6413492,0,UTR2025H200123,1761987600,2025-11-01,136,40033.00,
set_2025_H2_00124,settlement,405528327,processed,7603842,0,UTR2025H200124,1762074000,2025-11-02,149,93037.00,
set_2025_H2_00125,settlement,292668182,processed,5369113,0,UTR2025H200125,1762160400,2025-11-03,127,2467.00,
set_2025_H2_00126,settlement,408945176,processed,7973823,0,UTR2025H200126,1762246800,2025-11-04,138,260716.00,
set_2025_H2_00127,settlement,383194049,processed,7052463,0,UTR2025H200127,1762333200,2025-11-05,154,15570.00,
set_2025_H2_00128,settlement,285343002,processed,5317369,0,UTR2025H200128,1762419600,2025-11-06,122,47487.00,
set_2025_H2_00129,settlement,391961560,processed,7279092,0,UTR2025H200129,1762506000,2025-11-07,137,51536.00,
set_2025_H2_00130,settlement,326623392,processed,6158626,0,UTR2025H200130,1762592400,2025-11-08,150,93637.00,
set_2025_H2_00131,settlement,266270293,processed,4938280,0,UTR2025H200131,1762678800,2025-11-09,149,31404.00,
set_2025_H2_00132,settlement,376983686,processed,7116764,0,UTR2025H200132,1762765200,2025-11-10,152,112755.00,
set_2025_H2_00133,settlement,432027152,processed,8190493,0,UTR2025H200133,1762851600,2025-11-11,151,148097.00,
set_2025_H2_00134,settlement,383754616,processed,7111866,0,UTR2025H200134,1762938000,2025-11-12,140,42373.00,
set_2025_H2_00135,settlement,313230333,processed,5741495,0,UTR2025H200135,1763024400,2025-11-13,132,0.00,
set_2025_H2_00136,settlement,318233508,processed,6157554,0,UTR2025H200136,1763110800,2025-11-14,111,176954.00,
set_2025_H2_00137,settlement,287715453,processed,5293468,0,UTR2025H200137,1763197200,2025-11-15,144,10727.00,
set_2025_H2_00138,settlement,363780111,processed,6894501,0,UTR2025H200138,1763283600,2025-11-16,139,123534.00,
set_2025_H2_00139,settlement,383306192,processed,7126470,0,UTR2025H200139,1763370000,2025-11-17,148,54822.00,
set_2025_H2_00140,settlement,322456869,processed,6136150,0,UTR2025H200140,1763456400,2025-11-18,126,123042.00,
set_2025_H2_00141,settlement,349763374,processed,6469561,0,UTR2025H200141,1763542800,2025-11-19,148,31872.00,
set_2025_H2_00142,settlement,414989726,processed,7896836,0,UTR2025H200142,1763629200,2025-11-20,164,158268.00,
set_2025_H2_00143,settlement,301713877,processed,5557509,0,UTR2025H200143,1763715600,2025-11-21,123,14792.00,
set_2025_H2_00144,settlement,379495454,processed,6983958,0,UTR2025H200144,1763802000,2025-11-22,149,15184.00,
set_2025_H2_00145,settlement,451260568,processed,8324933,0,UTR2025H200145,1763888400,2025-11-23,163,29107.00,
set_2025_H2_00146,settlement,389130087,processed,7255020,0,UTR2025H200146,1763974800,2025-11-24,141,66714.00,
set_2025_H2_00147,settlement,386582614,processed,7186590,0,UTR2025H200147,1764061200,2025-11-25,140,54857.00,
set_2025_H2_00148,settlement,303774777,processed,5653858,0,UTR2025H200148,1764147600,2025-11-26,135,46748.00,
set_2025_H2_00149,settlement,358846745,processed,6586410,0,UTR2025H200149,1764234000,2025-11-27,148,4788.00,
set_2025_H2_00150,settlement,270815176,processed,4964025,0,UTR2025H200150,1764320400,2025-11-28,120,0.00,
set_2025_H2_00151,settlement,266523100,processed,4925057,0,UTR2025H200151,1764406800,2025-11-29,133,21661.00,
set_2025_H2_00152,settlement,334222003,processed,6199809,0,UTR2025H200152,1764493200,2025-11-30,145,40119.00,
set_2025_H2_00153,settlement,362155880,processed,6860818,0,UTR2025H200153,1764579600,2025-12-01,146,121400.00,
set_2025_H2_00154,settlement,288358427,processed,5324605,0,UTR2025H200154,1764666000,2025-12-02,97,21282.00,
set_2025_H2_00155,settlement,207761287,processed,3824911,0,UTR2025H200155,1764752400,2025-12-03,88,9089.00,
set_2025_H2_00156,settlement,237881825,processed,4810759,0,UTR2025H200156,1764838800,2025-12-04,94,245717.00,
set_2025_H2_00157,settlement,201783772,processed,3708198,0,UTR2025H200157,1764925200,2025-12-05,84,5190.00,
set_2025_H2_00158,settlement,132802635,processed,2439194,0,UTR2025H200158,1765011600,2025-12-06,69,2689.00,
set_2025_H2_00159,settlement,178851355,processed,3330651,0,UTR2025H200159,1765098000,2025-12-07,91,28541.00,
set_2025_H2_00160,settlement,213540200,processed,4035601,0,UTR2025H200160,1765184400,2025-12-08,79,66243.00,
set_2025_H2_00161,settlement,271283054,processed,5028973,0,UTR2025H200161,1765270800,2025-12-09,85,30756.00,
set_2025_H2_00162,settlement,262460379,processed,4826606,0,UTR2025H200162,1765357200,2025-12-10,77,8579.00,
set_2025_H2_00163,settlement,202908254,processed,3789243,0,UTR2025H200163,1765443600,2025-12-11,89,38160.00,
set_2025_H2_00164,settlement,210471260,processed,3949987,0,UTR2025H200164,1765530000,2025-12-12,83,50225.00,
set_2025_H2_00165,settlement,152877830,processed,2810031,0,UTR2025H200165,1765616400,2025-12-13,92,4253.00,
set_2025_H2_00166,settlement,334822344,processed,6142191,0,UTR2025H200166,1765702800,2025-12-14,108,2683.00,
set_2025_H2_00167,settlement,258836777,processed,4844730,0,UTR2025H200167,1765789200,2025-12-15,80,54702.00,
set_2025_H2_00168,settlement,164946828,processed,3023469,0,UTR2025H200168,1765875600,2025-12-16,72,0.00,
set_2025_H2_00169,settlement,190616021,processed,3493981,0,UTR2025H200169,1765962000,2025-12-17,88,0.00,
set_2025_H2_00170,settlement,268866276,processed,4959869,0,UTR2025H200170,1766048400,2025-12-18,105,17221.00,
set_2025_H2_00171,settlement,297791535,processed,5618211,0,UTR2025H200171,1766134800,2025-12-19,105,87129.00,
set_2025_H2_00172,settlement,264246018,processed,4861807,0,UTR2025H200172,1766221200,2025-12-20,92,9926.00,
set_2025_H2_00173,settlement,216691098,processed,4333918,0,UTR2025H200173,1766307600,2025-12-21,83,197482.00,
set_2025_H2_00174,settlement,232421360,processed,4299575,0,UTR2025H200174,1766394000,2025-12-22,92,21439.00,
set_2025_H2_00175,settlement,271560410,processed,5009692,0,UTR2025H200175,1766480400,2025-12-23,102,17462.00,
set_2025_H2_00176,settlement,173846183,processed,3238496,0,UTR2025H200176,1766566800,2025-12-24,85,28317.00,
set_2025_H2_00177,settlement,246736341,processed,4529478,0,UTR2025H200177,1766653200,2025-12-25,89,3721.00,
set_2025_H2_00178,settlement,190003217,processed,3485078,0,UTR2025H200178,1766739600,2025-12-26,87,1272.00,
set_2025_H2_00179,settlement,234824252,processed,4398029,0,UTR2025H200179,1766826000,2025-12-27,91,51127.00,
set_2025_H2_00180,settlement,227374102,processed,4180565,0,UTR2025H200180,1766912400,2025-12-28,84,6992.00,
set_2025_H2_00181,settlement,214301203,processed,3952203,0,UTR2025H200181,1766998800,2025-12-29,70,13133.00,
set_2025_H2_00182,settlement,225830187,processed,4144024,0,UTR2025H200182,1767085200,2025-12-30,78,2494.00,
set_2025_H2_00183,settlement,226627688,processed,4155530,0,UTR2025H200183,1767171600,2025-12-31,68,795.00,
set_2025_H2_00184,settlement,215862016,processed,3961865,0,UTR2025H200184,1767258000,2026-01-01,81,2798.00,
